,ID_tab,ID_zam,Zamestnanie,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24,k25
0,1,1033,3D animátor/animátorka,2,0,0,0,11,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,5,0,0,0,0
1,2,2278,3D grafik/3D grafička,41,0,1,0,14,0,0,0,0,4,0,0,6,0,1,0,0,0,0,0,5,0,0,0,0
2,3,814,3D vývojár obuvi/3D vývojárka obuvi,0,3,9,0,9,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0
3,4,61,administratívny asistent/administratívna asistentka,0,8,0,0,10,0,13,0,0,2,2,0,4,0,0,0,0,0,0,0,1,1,0,0,0
4,5,131,administratívny pracovník/administratívna pracovníčka evidencie členskej základne,1,1,0,0,7,0,10,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,265,administratívny pracovník/administratívna pracovníčka lekárskych záznamov,2,12,0,0,7,0,3,1,0,4,5,0,4,0,1,0,0,1,0,1,0,0,5,0,0
6,7,398,administratívny pracovník/administratívna pracovníčka v oblasti auditu,0,9,0,0,11,0,4,0,0,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,8,2448,administratívny pracovník/administratívna pracovníčka v oblasti cudzojazyčnej korešpondencie,0,2,0,0,12,0,5,0,0,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
8,9,3002,administratívny pracovník/administratívna pracovníčka v oblasti investícií,1,4,1,0,8,0,10,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9,10,1905,administratívny pracovník/administratívna pracovníčka v poisťovníctve,1,7,1,0,11,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,2125,administratívny pracovník/administratívna pracovníčka v mzdovej učtárni,0,11,0,0,1,0,6,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
11,12,3033,administratívny pracovník/administratívna pracovníčka vo verejnej správe,1,6,0,0,6,0,10,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12,13,2284,administrátor/administrátorka grantov,0,6,0,0,9,0,4,0,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
13,14,1946,aerodynamik špecialista/aerodynamička špecialistka,3,8,14,0,3,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0
14,15,2200,agent/agentka zodpovedná za dokumentáciu pri predaji nehnuteľností,0,10,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,250,agitátor/agitátorka v politickej kampani,0,2,0,0,16,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0
16,17,2399,agronóm/agronómka,1,11,1,0,16,0,4,7,0,6,5,16,0,2,11,0,0,0,0,0,0,1,0,0,0
17,18,581,akupunkturista/akupunkturistka,0,6,0,0,16,0,0,1,0,2,12,0,1,0,1,0,0,0,0,0,0,0,15,0,0
18,19,2151,akustik špecialista/akustička špecialistka,2,2,5,0,10,1,0,0,0,1,1,0,0,7,2,0,0,0,0,0,2,0,0,0,0
19,20,515,alternatívny liečiteľ zvierat/alternatívna liečiteľka zvierat,0,6,0,0,5,0,5,14,0,1,5,8,0,0,1,0,0,1,0,0,0,0,1,0,0
20,21,1083,analytický chemik/ analytická chemička,0,22,5,0,18,0,3,5,1,0,2,0,3,3,9,0,0,0,0,0,0,1,0,0,0
21,22,1018,analytik logistiky/analytička logistiky,1,11,0,0,3,0,10,0,0,6,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
22,23,623,analytik v telefonickom centre/analytička v telefonickom centre,3,11,0,0,5,0,1,0,0,1,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0
23,24,104,analytik/analytička cenných papierov,0,13,0,0,7,0,3,0,0,14,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
24,25,2197,analytik/analytička daňovej politiky,1,4,0,0,6,0,6,0,0,15,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0
25,26,313,analytik/analytička fúzií a akvizícií,0,13,0,0,6,0,5,0,0,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,27,514,analytik/analytička kvality vody,0,16,3,0,7,1,2,3,0,1,2,0,0,3,5,0,0,1,0,0,0,0,0,0,0
27,28,2261,analytik/analytička namáhania materiálov,3,7,15,0,7,0,1,1,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0
28,29,210,analytik/analytička obnovy IKT po katastrofe,17,3,3,0,3,0,5,0,0,2,2,0,7,0,0,0,0,3,0,0,0,0,0,0,0
29,30,2691,analytik/analytička podielov na zisku,0,16,0,0,2,0,4,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,31,383,analytik/analytička poistného trhu,0,13,0,0,7,0,1,0,0,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
31,32,2978,analytik/analytička použiteľnosti,15,11,0,0,4,1,2,0,0,5,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0
32,33,1287,analytik/analytička prieskumu trhu,10,27,0,0,10,0,4,0,0,11,0,0,3,0,1,0,0,0,0,5,1,0,0,0,0
33,34,2041,analytik/analytička systémov IT,69,8,2,0,4,2,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
34,35,2196,analytik/analytička úverového rizika,2,15,0,0,6,0,1,0,0,9,2,0,2,0,1,0,0,0,0,1,0,1,0,0,0
35,36,3022,analytik/analytička znečistenia ovzdušia,0,6,5,0,8,0,1,2,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0
36,37,896,animátor/animátorka,12,2,0,0,20,0,2,0,0,1,1,0,4,0,0,0,0,0,0,0,6,0,0,0,0
37,38,1294,animátor/animátorka exteriérových aktivít,2,8,0,0,9,0,3,0,0,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0
38,39,446,animátor/animátorka rekreačných činností,0,8,0,0,11,0,9,0,0,0,4,0,0,0,2,0,0,6,0,0,0,2,0,0,0
39,40,2758,animoterapeut/animoterapeutka,0,1,0,0,8,0,3,3,0,0,6,2,0,0,0,0,0,0,0,5,0,0,2,0,0
40,41,1980,anketár/anketárka,1,7,0,0,10,0,1,0,0,2,2,0,3,0,3,0,0,0,0,6,1,1,0,0,0
41,42,2117,antropológ/antropologička,0,23,0,3,21,0,2,1,1,0,0,0,2,0,3,0,0,0,0,8,8,1,0,0,0
42,43,3016,aplikačný inžinier/aplikačná inžinierka,64,32,22,0,45,4,28,3,1,13,4,0,23,6,5,0,0,1,0,1,9,0,0,0,0
43,44,1006,aplikátor/aplikátorka pesticídov,0,3,3,0,0,0,2,3,0,1,4,4,0,2,4,0,0,1,0,0,0,0,0,0,0
44,45,684,aranžér/aranžérka,0,7,0,0,9,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0
45,46,2251,arborista/arboristka,0,4,0,0,2,1,1,11,0,0,4,2,1,3,4,0,0,1,0,0,0,0,0,0,0
46,47,410,archeológ/archeologička,1,27,3,3,18,0,4,2,1,0,0,0,3,1,6,0,0,0,0,2,8,0,0,0,0
47,48,1512,architekt blockchainu/architektka blockchainu,31,3,0,0,8,0,3,0,0,3,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0
48,49,2037,architekt elektronického vzdelávania/ architektka elektronického vzdelávania,24,3,0,0,7,1,7,0,4,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
49,50,1742,architekt/architektka,0,10,27,0,41,0,6,1,0,3,2,0,2,0,2,0,0,0,0,0,1,0,0,0,0
50,51,1883,architekt/architektka interiérovej zelene,0,1,2,0,10,1,1,6,0,0,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0
51,52,2718,architekt/architektka systémov IT,52,6,2,0,9,1,4,0,0,6,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0
52,53,2735,archivár/archivárka,0,8,0,0,2,0,5,1,0,0,3,0,4,0,0,0,0,0,0,3,1,0,0,0,0
53,54,1450,aromaterapeut/aromaterapeutka,0,8,0,0,14,0,3,3,0,1,11,0,0,0,0,0,0,1,0,3,0,0,19,0,0
54,55,2810,arteterapeut/arteterapeutka,0,3,0,0,18,0,4,0,1,1,20,0,1,0,0,0,0,1,0,10,2,0,5,0,0
55,56,440,artista a cirkusový umelec/artistka a cirkusová umelkyňa,0,1,0,0,22,2,5,1,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0
56,57,2577,asistent /asistentka v salóne kráse,0,2,0,0,11,0,8,6,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,58,1284,asistent chiropraktika/asistentka chiropraktika,0,3,0,0,9,0,5,0,0,2,6,0,2,1,0,0,0,0,0,0,0,0,4,0,0
58,59,1625,asistent klinických skúšok/asistentka klinických skúšok,0,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0
59,60,1925,asistent predaja/asistentka predaja,0,4,1,0,13,0,7,5,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,61,2571,asistent zdravotnej starostlivosti/asistentka zdravotnej starostlivosti,0,3,0,0,18,0,3,1,0,0,13,0,2,1,0,0,0,0,0,0,0,0,5,0,0
61,62,969,asistent/asistentka animátora exteriérových aktivít,0,7,0,0,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,63,2706,asistent/asistentka divadelnej réžie,0,4,0,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,64,1626,asistent/asistentka ergoterapie,0,3,0,0,8,0,2,0,0,2,11,0,0,0,0,0,0,3,0,1,1,0,15,0,0
64,65,1399,asistent/asistentka filmovej réžie,0,3,0,0,11,0,9,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
65,66,1069,asistent/asistentka kaderníka,0,2,0,0,8,0,3,1,0,0,10,0,0,1,0,0,0,3,0,0,0,0,0,0,0
66,67,1749,asistent/asistentka manažmentu,0,6,0,0,14,0,8,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,68,888,asistent/asistentka marketingu,1,7,0,0,20,0,7,0,0,12,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0
68,69,1154,asistent/asistentka podpory predaja,1,8,0,0,2,0,8,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,70,2629,asistent/asistentka poslanca,1,4,0,0,21,0,9,0,0,7,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0
70,71,2453,asistent/asistentka pre oblasť dodávateľského reťazca,1,8,0,0,6,0,8,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
71,72,432,asistent/asistentka propagačných aktivít,0,3,0,0,4,0,8,0,0,2,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0
72,73,995,asistent/asistentka sociálnej práce,0,4,0,0,16,0,4,0,1,2,16,0,0,0,0,0,0,1,0,3,0,1,4,0,0
73,74,1808,asistent/asistentka správy investičných fondov,1,12,0,0,9,0,2,0,0,11,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
74,75,1516,asistent/asistentka učiteľa na strednej škole,0,3,0,0,19,0,8,0,4,1,6,0,1,0,0,0,0,0,0,1,0,1,3,0,0
75,76,8,asistent/asistentka učiteľa na základnej škole,0,0,0,0,14,0,7,0,4,0,10,0,1,0,0,0,0,1,0,0,0,1,4,0,0
76,77,960,asistent/asistentka učiteľa v predškolskom zariadení,0,1,0,0,10,0,7,0,3,0,10,0,0,0,0,0,0,1,0,0,0,1,2,0,0
